item_type,date_uploaded,source_file,item_id,title,date,source_url,phys_format,dig_format,rights,image_url,creators,description,subject_headings,source_collection,url,notes
Item,2024-12-15,item-metadata-gardens\item_metadata-afc1999008.afc1999008_crf_mhc05407.json,cmns001121,Bob Jarrell's vegetable garden,1996-06-28,https://www.loc.gov/item/cmns001121/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,Undetermined,https://tile.loc.gov/image-services/iiif/service:afc:afc1999008:afc1999008_crf_mhc05407/full/pct:100/0/default.jpg#h=2776&w=4096,"['Jarrell, Bob (Depicted)', 'Hufford, Mary, 1952- (Photographer)']",Not found,"['Gardens', 'Plow and plant gardens', 'Summer', 'June', 'Photographs', 'Ethnography', 'West Virginia -- Raleigh County -- Sundial']",Coal River Folklife Collection (AFC 1999/008),Not found,"[""Bob Jarrell is Randy Sprouse's neighbor.""]"
Item,2024-12-15,item-metadata-gardens\item_metadata-cph.3a25266.json,2001703638,"[Kindergarten in a vegetable garden, Washington, D.C.]",1899-01-01,https://www.loc.gov/item/2001703638/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on reproduction.,https://tile.loc.gov/storage-services/service/pnp/cph/3a20000/3a25000/3a25200/3a25266r.jpg#h=497&w=640,"['Johnston, Frances Benjamin, 1864-1952, photographer.']",Not found,['Education--Washington (D.C.)--1890-1900'],"Johnston, Frances Benjamin,1864-1952. Washington, D.C., school survey",//www.loc.gov/pictures/item/2001703638/,"['Title and other information transcribed from caption card.', 'Frances Benjamin Johnston Collection (Library of Congress).', 'In album: ""5th Division and Kindergarten.""']"
Item,2024-12-15,item-metadata-gardens\item_metadata-cph.3c30923.json,2017865756,"New York, New York. Children's school victory gardens on First Avenue between Thirty-fifth and Thirty-sixth Streets",1944-01-01,https://www.loc.gov/item/2017865756/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/cph/3c30000/3c30000/3c30900/3c30923v.jpg#h=817&w=1024,"['Meyer, Edward, photographer.']",Not found,['United States--New York (State)--New York'],Farm Security Administration - Office of War Information photograph collection (Library of Congress),//www.loc.gov/pictures/item/2017865756/,"['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi', 'Temp. note: owibatch5', 'Film copy on SIS roll 16, frame 1704.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-cph.3f05737.json,99400959,Grow it yourself Plan a farm garden now.,1941-01-01,https://www.loc.gov/item/99400959/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05700/3f05737v.jpg#h=702&w=1024,"['Bayer, Herbert, 1900-1985, artist.', 'United States. Rural Electrification Administration, sponsor.']","Poster for the U.S. Department of Agriculture promoting victory gardens, showing carrots, lettuce, onion, tomatoes, and potatoes growing.","['World War, 1939-1945--Economic & industrial aspects--New York (State)--New York', 'Victory gardens--New York (State)--New York--1940-1950', 'Vegetables--New York (State)--New York--1940-1950', 'War work--New York (State)--New York--1940-1950']",Not found,https://www.loc.gov/pictures/item/99400959/,"['Rural Electrification Administration, U.S. Department of Agriculture.', 'Work Projects Administration Poster Collection (Library of Congress).']"
Item,2024-12-15,item-metadata-gardens\item_metadata-cph.3g05158.json,97502889,"Buckingham Fountain on Chicago's lake front, world's largest and most beautiful illuminated fountain ... / Buczak.",1939-01-01,https://www.loc.gov/item/97502889/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158v.jpg#h=1024&w=806,"['Buczak, John, artist.']",Poster showing fountain and Chicago skyline.,['Fountains--Illinois--Chicago--1930-1940'],Not found,//www.loc.gov/pictures/item/97502889/,"['Work Projects Administration Poster Collection (Library of Congress).', 'Posters of the WPA / Christopher DeNoon. Los Angeles: Wheatly Press, c1987, no. 163']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ds.03659.json,2013645840,Sculpture and children in fountains - Jane Addams Houses,1938-01-01,https://www.loc.gov/item/2013645840/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/03600/03659v.jpg#h=831&w=1024,"['Sekaer, Peter, 1901-1950, photographer.', 'United States Housing Authority.']","Photograph shows children playing in fountains and on animal sculptures in the courtyard of the Jane Addams Homes housing project, Chicago, Illinois, built in 1938 by Franklin D. Roosevelt's WPA Program.","['Children--Illinois--Chicago--1930-1940', 'Housing--Illinois--Chicago--1930-1940', 'Play (Recreation)--Illinois--Chicago--1930-1940', 'Fountains--Illinois--Chicago--1930-1940', 'Public sculpture--Illinois--Chicago--1930-1940']",Peter Sekaer photograph collection,https://www.loc.gov/pictures/item/2013645840/,"['Taken for the U.S. Housing Authority.', 'Title from item.', 'Forms part of: Peter Sekaer photograph collection.']"
Item,2024-12-15,item-metadata-gardens\item_metadata-ds.13761.json,2020630497,"[James Scott Memorial Fountain, Belle Isle, Detroit, Michigan.] [Foundations of fountain.] [Plan]",1920-01-01,https://www.loc.gov/item/2020630497/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ds/13700/13761v.jpg#h=889&w=1024,"['Gilbert, Cass, 1859-1934, architect.']",Not found,['Fountains--Michigan--Detroit--1920'],Not found,https://www.loc.gov/pictures/item/2020630497/,"['Title devised by Library staff.', 'Drawing no. 1005.', 'Accession box no. PR 13 CN 2001:084 c6']"
Item,2024-12-15,item-metadata-gardens\item_metadata-fsa.8a19113.json,2017732863,"New York, New York. 61st Street between 1st and 3rd Avenues. Flowers in a window",1938-01-01,https://www.loc.gov/item/2017732863/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8a19000/8a19100/8a19113v.jpg#h=717&w=1024,"['Evans, Walker, 1903-1975, photographer.']",Not found,['United States--New York (State)--New York'],Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),//www.loc.gov/pictures/item/2017732863/,"['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi']"
Item,2024-12-15,item-metadata-gardens\item_metadata-fsa.8b14071.json,2017762632,Plants in window of Nebraska farmhouse,1938-01-01,https://www.loc.gov/item/2017762632/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14000/8b14071v.jpg#h=1024&w=776,"['Vachon, John, 1914-1975, photographer.']",Not found,"['United States--Nebraska', 'Farms, farmers--Nebraska']",Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),//www.loc.gov/pictures/item/2017762632/,"['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi', 'Temp. note: usf34batch1']"
Item,2024-12-15,item-metadata-gardens\item_metadata-fsa.8b14514.json,2017764422,"Washington, D.C. Government employee taking a nap on a bench in the Botanical Garden",1942-01-01,https://www.loc.gov/item/2017764422/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html",https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14500/8b14514v.jpg#h=792&w=1024,"['Ferrell, John, photographer.']",Not found,['United States--District of Columbia--Washington (D.C.)'],Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),https://www.loc.gov/pictures/item/2017764422/,"['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi', 'Temp. note: usf34batch1']"
