alt,image,link,title
Blooming cactus plant and several smaller flowering plants nearby.,/static/portals/free-to-use/public-domain/gardens/gardens-1.jpg,/resource/highsm.16140/,"Flowers, including a blooming cactus, at the Desert Botanical Garden, Phoenix, Arizona. Photo by Carol M. Highsmith, around 2000."
"Illustration of the fountain's center jet and tiered, color-lit basins. Chicago skyline in background.
",/static/portals/free-to-use/public-domain/gardens/gardens-2.jpg,/resource/cph.3g05158/,"Buckingham Fountain on Chicago's lake front. Poster by John Buczak, 1939."
Overview of a walled flower garden with coastal landscape in background.,/static/portals/free-to-use/public-domain/gardens/gardens-3.jpg,/resource/ppmsca.16216/,"Gray Gardens, East Hampton, New York. Lantern slide by Frances B. Johnston and Mattie E. Hewitt, around 1914."
Roses in several colors grow next to and around a lamp post.,/static/portals/free-to-use/public-domain/gardens/gardens-4.jpg,/resource/highsm.51078/,"Creative planting at the International Rose Test Garden in Portland, Oregon. Photo by Carol M. Highsmith, 2018."
A white boy wearing shorts and a tie uses a watering can to moisten several rows of vegetables.,/static/portals/free-to-use/public-domain/gardens/gardens-5.jpg,/resource/cph.3c30923/,"Children's school victory gardens, New York City. Photo by Edward Meyer, 1944."
Four African American children pose while standing in front of flowers by a fence.,/static/portals/free-to-use/public-domain/gardens/gardens-6.jpg,/resource/ppmsca.38775/,"Henry Truvillion's children (4 of the 5), in his flower garden, Newton, Texas. Photo by Ruby Lomax, 1940."
Smiling scarecrow stands among vegetables in a small fenced garden.,/static/portals/free-to-use/public-domain/gardens/gardens-7.jpg,/resource/ppmsca.16143/,"Worker vegetable garden with scarecrow at the National Cash Register Company, Dayton, Ohio.  Lantern slide, around 1905."
Blooming flowers flank a gravel path with stone steps leading to a wooden gate and arbor.,/static/portals/free-to-use/public-domain/gardens/gardens-8.jpg,/resource/ppmsca.16752/,"Flower garden gate at Beechgate, Englewood, New Jersey.  Lantern slide by Frances B. Johnston, 1918."
"Woman wearing a flower-patterned dress, is stretched out on a bench with her shoes off.",/static/portals/free-to-use/public-domain/gardens/gardens-9.jpg,/resource/fsa.8b14514/,"Government employee taking a nap on a bench in the Botanical Garden, Washington, DC. Photo by John Ferrell, 1942."
Low dirt walls surround sunken rows of plants with a  desert landscape in background.,/static/portals/free-to-use/public-domain/gardens/gardens-10.jpg,/resource/stereo.1s00324/,"Gardens surrounding the Zuni Pueblo, in which are raised a variety of vegetables.  Stereograph by Timothy O'Sullivan, 1873."
Corner of stone house with blooming yellow and purple plants in foreground.,/static/portals/free-to-use/public-domain/gardens/gardens-11.jpg,/resource/highsm.18085/,"Bartram's Garden, America's oldest botanical garden, Philadelphia, Pennsylvania. Photo by Carol M. Highsmith, around 2000."
Crescent-shaped pool with garden park at left and skyscrapers in background.,/static/portals/free-to-use/public-domain/gardens/gardens-12.jpg,/resource/highsm.17208/,"Reflecting pool, Yerba Buena Gardens, atop Moscone Convention Center, San Francisco, California. Photo by Carol M. Highsmith, around 2000."
Stone pathway and low-growing flowers lead into a wooded area.,/static/portals/free-to-use/public-domain/gardens/gardens-13.jpg,/resource/ppmsca.16693/,"Pathway at Reef Point, Beatrix Farrand house, Bar Harbor, Maine. Lantern slide by Frances B. Johnston, 1920."
A row of four men wearing aprons stand by potted plants; two are smiling.,/static/portals/free-to-use/public-domain/gardens/gardens-14.jpg,/resource/ppmsca.83823/,"Japanese American men work in a greenhouse operated by the Issei-owned Ozone Park Nursery, New York City. Photo by Stone S. Ishimaru, 1945."
"Site plan identifies trees, plants, and two houses.",/static/portals/free-to-use/public-domain/gardens/gardens-15.jpg,/resource/hhh.ma1202.sheet/?sp=12,"Adams Garden, Quincy, Massachusetts. Delineated by Margaret M. Webster, 1936."
"Bird's-eye view illustration of the courtyard, gardens, and large fountain surrounded on three sides by the palace.
",/static/portals/free-to-use/public-domain/gardens/gardens-16.jpg,/resource/pga.14314/,"Paris. Jardin du Palais Royal. Lithograph by Lemercier from drawing by Philippe Benoist, around 1850."
Frozen fountain in front of the monument with a sculpture of Washington on a horse.,/static/portals/free-to-use/public-domain/gardens/gardens-17.jpg,/resource/stereo.1s04657/,"George Washington Monument and frozen fountain, Richmond, Virginia. Stereograph by David H. Anderson, 1860-1870."
Many children and adults (seen from behind) are looking at the two-tier fountain with multiple water jets.,/static/portals/free-to-use/public-domain/gardens/gardens-18.jpg,/resource/stereo.1s07844/,"Forsyth Park fountain, Savannah, Georgia. Stereograph by J.N. Wilson, 1860-1880."
Potted plants flank a walkway inside a greenhouse.,/static/portals/free-to-use/public-domain/gardens/gardens-19.jpg,/resource/stereo.1s06147/,"Botanical Gardens, Washington, DC, approximately 1880."
People look across a pond to the three-story museum building.,/static/portals/free-to-use/public-domain/gardens/gardens-20.jpg,/resource/ppmsc.08589/,"Kew Gardens, the museum, England, 1890-1900."
A rectangular pool of water leads to the elaborate fountain with sculpture figures.,/static/portals/free-to-use/public-domain/gardens/gardens-21.jpg,/resource/ppmsc.05210/,"Luxembourg Gardens, the Medici fountain, Paris, France, 1890-1900."
Plants grow in water with the wooden porch of a building at left.,/static/portals/free-to-use/public-domain/gardens/gardens-22.jpg,/resource/wtc.4a03254/,"Water garden, China. Lantern slide by William Henry Jackson, 1895."
"Design drawing for a octagonal basin with decorative figures in blue, yellow, red, and green.",/static/portals/free-to-use/public-domain/gardens/gardens-23.jpg,/resource/ppmsca.83865/,"Basin for fountain in the Winter Garden at Biltmore, Asheville, North Carolina. Drawing by Richard M. Hunt, around1895."
"More than 12 children and a teacher are in a narrow, fenced garden.",/static/portals/free-to-use/public-domain/gardens/gardens-24.jpg,/resource/cph.3a25266/,"Kindergarten in a vegetable garden, Washington, DC. Photo by Frances B. Johnston, 1899."
